unique_id,predicted_income
LOA-N2R13L12,15944.089061686576
LFHE1YBH,24455.6739045106
LOA-BQYE33Y5,43881.72720373753
LOA-1ZPEX6BB,20236.302101031044
LOA-SNVU4KP8,22028.43356736133
A1BLSD6A,21371.088670408724
SGN1ISUQ,29498.97286784395
LOA-CD47R5PF,35907.18932209842
LOA-16488U5M,54057.05305885642
LOA-E31MFQHJ,25381.459629125704
LOA-2PGYDD5P,15114.525176376805
LOA-YFH9QHY1,28682.381509808143
LOA-YFH9QHY1,28682.381509808143
LOA-LA1DV2CD,21064.895180055617
ED9XFU16,26526.17454634368
ED9XFU16,26526.17454634368
6IC7NUZ1,67346.72533901718
LOA-S6LB8PV5,99417.02528370297
DKENUDD9,48067.43512065341
Y28L491S,23305.191796479445
LOA-3D74CJ5H,26444.502947988774
LOA-1FPA9ZY7,16087.88476022287
LOA-ZBTY8DA3,90571.0352458549
MJR665MM,40259.14377520397
LOA-82B5U3YB,57252.44707408027
ANEZSVNQ,18365.346634357426
LOA-D7VTEYDK,18467.072257825133
2SSF6SQN,85984.48289348315
4BSPC357,23958.974683393928
LOA-6SGZAYAZ,30497.17219192971
HY9HXKVQ,22753.051325656183
HY9HXKVQ,22753.051325656183
PGZXDUXI,98030.05261702399
5IV68Y5V,30045.841803975753
LOA-1286DAYF,101712.739565071
LOA-FV6Y1U3P,76711.77000580372
LOA-BP9LXB6D,25762.241493904465
LOA-2G3Q1CXK,61109.84683523065
LOA-C9AER2Y8,20226.698785084405
LOA-SUEGKRXD,21396.707020410413
LOA-URDVVFJ6,14823.004830606676
LOA-MRQKKDSH,19331.362209629442
LOA-AD53RGN5,35896.46806095133
5I7UZ55L,14989.048739488948
LOA-N1E9L5CU,22761.60275723211
LOA-SEPPC32N,57423.775800171265
LOA-9B6TKFLS,20610.336299724335
6YNBVNXS,25189.655701625732
LOA-5BS775ZJ,29752.381596488925
LOA-AVY65T1U,78883.4250624526
LOA-48U5HSAG,77878.4657676643
LOA-FPNGMSEN,44240.00950811795
LOA-6CVJ5J8Q,28281.776328814547
LOA-DXJDYTG4,26595.4237989451
NTER24AZ,25287.41420552623
LOA-X5RPC2P7,21858.5376950562
U5MY5195,29308.720846637225
LOA-BDZAP5VY,18564.510061440746
LOA-G8RANRQZ,28987.42098187575
LOA-52L1NBKV,55916.21323919963
LOA-NSQ9HXG8,79669.03459393108
LOA-YUQZ66PL,16594.07502018424
YB7UUD6T,60028.93532188457
LOA-HJZHEG77,58712.92924958805
LOA-AL723CP2,21934.00918497864
LOA-PVB6JQCT,81058.26758733024
LOA-C3U4G421,19237.384802707642
LOA-S4F5P7G5,20716.751446500748
LOA-PFLKP44T,28760.767472879204
LOA-VBUXKLXT,40231.451712666596
LOA-7TZAY9MU,24132.53686296578
LOA-T4QX99SM,75354.10691241072
LOA-TG4FNZ38,25667.21041815762
LOA-E1SFYHSS,25552.66643052483
LOA-M9J7P5RA,17125.656507353222
LOA-UBYSRP77,16076.252301138846
LOA-YV5QRLE6,23773.92004713537
LOA-RYYNUB82,18433.903109132145
LOA-JEGJXR5N,59239.374161727705
LOA-M7TXA41L,58850.220272282284
LOA-DSXDPLXR,15557.532850197314
LOA-NS1LECAA,39238.886272237614
LOA-6NV1SKH3,21542.581058341773
LOA-KNNHLFP4,20645.829407539244
LOA-7YZU48FQ,26244.94357732183
LOA-62F5BSZG,26674.853303074015
LOA-K8HCTJ3A,20916.666301513676
LOA-ARYC4T34,29503.691238954154
LOA-ALT5KUKL,21328.778554827775
LOA-31Z8JPYP,41058.22002603992
LOA-RPK87JY5,29380.869733520834
LOA-KV55NHZZ,76476.17515152293
LOA-DRHPYVVL,32682.727601729825
LOA-HDXTRQ42,25909.11066295762
LOA-D79XRG1Y,22969.181892887733
LOA-37R4R6VB,23463.116330316432
LOA-1VYNSTY6,27517.03254540012
LQY7HT51,48602.43974463258
LQY7HT51,48602.43974463258
LOA-XJU1MK34,39315.86144562443
LOA-QQ9T75SX,19181.209890105132
LOA-XJQCJFFM,18997.126130249013
LOA-QNCZNUGP,89259.86251575114
LOA-YB8H2KVU,25266.81622296317
LOA-X47R5R25,32021.17061105332
LOA-HNFSZY2M,35476.680320208165
LOA-9RR176Q5,14993.435977143035
LOA-XRTSGVC7,82916.32470495765
LOA-XX95C71N,21895.77730457742
LOA-PNXNQV36,18631.09074282484
LOA-433B3UY5,38087.70363760639
LOA-GAP4N9Y3,31158.31871096058
LOA-7J84C7UF,15991.958733866233
LOA-V85GQ59C,18957.364760179786
LOA-1Y8TD1M7,62726.17114176872
LOA-AAS136S6,21018.10642122393
LOA-AAS136S6,21018.10642122393
LOA-XPM2VVFL,33082.79906555767
LOA-29ZHY8LM,16090.850926828494
LOA-29ZHY8LM,16090.850926828494
LOA-91X5X5NT,36311.63448052972
LOA-D9VKHZPC,33042.882398512076
LOA-3U4AB91H,19548.216617304148
LOA-3U4AB91H,19548.216617304148
LOA-KL7MZQAY,25879.394188466253
LOA-QQTKD11B,31990.97340378029
LOA-FFV1MM1G,18683.0180593017
LOA-TXBF3TAZ,36159.49035047776
LOA-2A9AAVJL,56328.16576412269
LOA-9H5SFK3G,80887.35917163356
LOA-VEAE52UB,25244.12372111246
LOA-RYFVEZFP,44316.38242318257
LOA-ZN38P35S,66964.14450600883
LOA-E92RGM5X,54145.39312586981
LOA-5CBRQSDR,14633.054076196497
LOA-DBDPFMK9,18039.362756715975
LOA-6UPK22RB,41170.90509001218
LOA-6UPK22RB,41170.90509001218
LOA-DVU47DB6,14426.267938290679
ANUBHJKL,71558.49622649171
LOA-X574GU4D,25870.023223247845
LOA-U3FA2ZZ5,19690.379045945443
LOA-1XXZ2AYE,17712.825297954423
IL9JE89N,54598.198656378765
LOA-TEB8M9UG,15030.915172864821
LOA-TEB8M9UG,15030.915172864821
LOA-4E1TFHB2,34916.46533539643
LOA-4E1TFHB2,34916.46533539643
LOA-KQQYD4ZS,25043.64335766134
LOA-QCBUPVH8,19001.177598836508
LOA-KTZP3F8K,24821.529501512818
5DK853K7,24088.945100916022
LOA-GVAPUFSM,62601.63603804497
LOA-DXV4DQEU,19427.56871702445
LOA-E57TXDEN,28754.463405993025
LOA-UBEF9RER,18016.189691271367
LOA-SESYD6UD,50947.59877626474
LOA-SESYD6UD,50947.59877626474
LOA-4M4LR9CB,87231.88557014207
LOA-55LP1YRN,27995.987053710272
LOA-SN1YFEXP,84994.65740718038
LOA-AZV7HEUM,17831.85700082883
LOA-U31PCBN3,32185.657793057697
LOA-R9UAJ4CB,36393.87182823853
LOA-R9UAJ4CB,36393.87182823853
LOA-QZ86YUPJ,39535.108230585334
LOA-H1GEHYDJ,19535.295965032314
LOA-KKD6G5JY,34535.77239186573
LOA-GXYEMES2,17393.70308225568
LOA-GXYEMES2,17393.70308225568
LOA-TYNS3GE3,17839.618360277873
LOA-TYNS3GE3,17839.618360277873
LOA-C6C3BSDL,36467.125268979406
LOA-7MFM3RGH,19414.583409042465
H3TK3A2J,14895.474232776289
H3TK3A2J,14895.474232776289
LOA-6351GNB4,27356.974811126627
LOA-1TCE4YDU,21572.89636648167
LOA-1TCE4YDU,21572.89636648167
LOA-Y6AM7GEK,26754.669456969128
LOA-URJ3VD36,62358.76891403644
LOA-HF3MH5ZF,21680.547595235603
LOA-69HUA4MY,27542.973566018558
LOA-TPGUCEY8,84899.8421211787
LOA-783MPA2E,31710.335297864538
LOA-RHU8LMZN,16160.066772459333
LOA-PTEMQXPR,16868.547470937545
LOA-T8CRGNP2,18926.339235693238
LOA-T8CRGNP2,18926.339235693238
LOA-CBYRQCXP,17796.529357982243
LOA-MDAN4M23,27762.277564864846
LOA-T8AAPUJK,21095.982499549922
LOA-5K6TKBHM,25747.05227527659
LOA-EPS789E7,31281.109932785716
LOA-ABJYUC8K,61137.50395901125
LOA-FQ41XQHA,44147.20306452283
1PUK3NN2,28925.078386462777
LOA-MBB182GE,22249.010153918647
LOA-L8XBFPCF,28483.282749458565
LOA-7GQANNVE,73743.64532126416
LOA-8BJP4QAL,29163.87717034529
LOA-N4JX55QK,76500.58743096402
LOA-B7PEUVYH,27908.25477234954
LOA-1VAHN7EV,34188.724346630144
LOA-1VAHN7EV,34188.724346630144
LOA-2BCZ633K,34314.08109659829
LOA-BDVKE7QP,40200.27088550365
LOA-NT197L91,26802.653249106184
LOA-BTYTJ4EB,34756.76800461859
LOA-71RBCMYQ,20484.38511383462
LOA-9AU2G9UL,22695.98609024833
LOA-NS5VP7B1,30820.559157811942
2KAUMCTN,30296.90011401458
LOA-6J7BFR6N,23183.941536498878
LOA-6J7BFR6N,23183.941536498878
LOA-5Q3KL7MQ,89642.71015065661
LOA-PJLLVYU9,27487.334549365245
LOA-1GH961ER,21406.653606584317
LOA-MH5BE46B,31130.584543806584
LOA-Q83RCC7M,25812.052073407474
LOA-DKKNEDRS,24444.131856415963
LOA-576BVUDB,33041.91581264945
LOA-9YSA3ZML,64924.68726456068
LOA-5J8GPQUA,21214.982675622115
LOA-4JR9D4YP,87076.16635834532
LOA-8A4L8BU8,31257.707206083196
LOA-9K2TPVMY,41422.182001440335
LOA-TJT13ABB,40376.86151702324
LOA-755NUN7E,97042.5467942037
LOA-UP63CF8M,31921.381088701703
LOA-MH2FYNSL,34830.8333105353
LOA-MH2FYNSL,34830.8333105353
LOA-PGPG6PVK,31025.55940636957
LOA-4774XY9J,20206.642040132683
LOA-MM6485PP,25331.945085376716
LOA-TNM2Z76Z,87937.97565285982
LOA-9YZ1JPHB,15416.911664558393
LOA-UMJMPUSP,14331.104326751012
LOA-VYKHBDD6,31003.270158552226
QTC33S9I,19091.14315749086
LOA-EM48Y8HD,92432.2942396464
LOA-DZMKLKK9,31318.076160034496
LOA-18HP6G52,19443.23785353553
LOA-3CRLKP2C,44192.82794271577
1FBDH4CI,76974.27148353985
LOA-PCKYFVAJ,101382.07672402557
2RXLTAB1,20279.36855013644
LOA-J9JK8GSS,15421.75096374947
LOA-L1MDK7XL,31497.581824578847
FRMD4P49,23831.70023966969
LOA-EHXGTZ9L,15340.15844453643
J1H278G2,16760.82521787455
LOA-SJKRJCVA,26932.69631403434
LOA-325FCJXU,71916.23872076606
DJTDK3LM,14083.632444101193
LOA-PGG896ML,20094.328719586174
LOA-KAHQDTMG,78555.3728470019
LOA-YEK3QU6T,20666.912724289192
LOA-G4DKCVJ4,85808.93991054068
LOA-TAL6JTBJ,18627.824649901253
LOA-P9RMR8UG,17607.6053279733
FGZFIGZS,31886.148117055032
LOA-TFLQ7KHY,43041.027768172564
LOA-JAZY8GCJ,101425.01670006067
LOA-NPBABG9F,25807.122798610595
LOA-UK6NJFXA,15515.411918015616
LOA-B13BC4G5,18128.96152379967
LOA-J44N982P,17516.834943778806
LOA-EFLLVKB8,36970.98693928227
HB5M9YDH,46513.054047959726
9HYKVE83,31000.325348723225
LOA-3CBZRSB8,39715.77058915628
5CX2S2TX,15897.470419987229
LOA-998AYZQZ,28639.0618949962
LOA-LC7JZP87,56952.91856311863
LOA-STURF9JJ,49893.90917227335
LOA-CGMRXPTM,18200.08008400553
LOA-6QJMRTV2,26554.25692675484
VMNACHP6,27207.093773116638
LOA-E1RXJE3H,15561.378309355212
LOA-277F77GR,32130.689985614663
LOA-VS8UDVLE,29316.230946190473
HDEV93Z1,37586.058461058696
LOA-U54B1YQS,18768.71771825904
LOA-2V6BD5TH,40465.4364645034
LOA-VT6DPZDD,57933.31441137092
LOA-5NHUPLY6,33975.777387069094
D3G5GCJK,36588.16437306846
LOA-ZFYJSGUZ,19943.61840137804
LOA-834XBDK1,40369.70402256535
N3KK925B,15836.996395942515
LOA-2SVEGPS8,15639.645823216057
LOA-Q48DULBQ,40995.274945382356
LOA-QQ3LLJ5A,18704.466204395092
LOA-8MC5T3ZV,20956.779118244343
59LNMB96,18977.681647532758
PTZPRZCZ,16339.742924834944
LOA-UTZ5R5P7,27766.670687406666
LOA-6N4VBJNL,26996.46529112405
LOA-47FAKK5P,24750.893761872478
U84N2RUX,18544.808896321836
LOA-KXHJFT6A,69548.79153122587
LOA-FFDXGMBK,18452.587672329726
LOA-PSA2HL53,23404.944079206718
LOA-XBDX2GM8,27535.553585161182
LOA-KPHQVEHV,26084.311328622334
LOA-Z82L71YS,26697.783815315015
LOA-LZZ78C77,105654.89335791644
LOA-8R83BMNE,25830.561384913017
LOA-3KKTVQ7L,40067.54250062728
LOA-DKRZTHVJ,21086.447637060377
LOA-TAC2DTRK,32549.875870182434
1UJVJQND,70848.71769047306
LOA-JM7R1KEE,21099.34403057925
LOA-SSFUTRVQ,30457.382643920417
LOA-QRJG5S8D,28942.89809434926
LOA-HVQZQVML,16221.928779386251
LOA-7GTPBS33,20191.30396054397
LOA-YL39KM99,21442.79876036655
LOA-AY2SHCL7,14199.766609126082
LOA-VYPTVXN1,28444.35808993328
LOA-EZVA8VQE,16502.413705381656
LOA-M5VSBU94,31841.35231464405
LOA-2MZT3UVZ,17982.34194906843
LOA-S23QXVC8,25462.361958082703
LOA-5C9F2CJR,31770.25234824276
3T48EBZY,22694.18829479209
LOA-TTH74QCS,33847.44742513531
LOA-FF691HA2,101813.5171228788
LOA-TASL25QX,23181.036158122697
LOA-GB7XEAG1,28542.15453317359
LOA-T4RN651F,40035.175351716956
LOA-C1KFVGVT,39122.111227584486
LOA-5Q55NSQ3,17135.869812456363
LOA-FCEGSCX4,19469.869795666385
LOA-B7YD1VPB,15148.227506354753
LOA-98XZRE7S,21331.852058768225
P65TBYXJ,16606.87497512395
EZ5AI5CJ,14922.497358735814
LOA-JLHYCCNC,14663.562715522687
LOA-JA337AEE,31795.53931599305
LOA-4Y36M6NP,16590.28065888878
LOA-6Q9DATYT,38044.2922514946
LOA-68HLZZUA,32480.90889888461
LOA-C35EFKXR,33597.48919983986
LOA-VKASNEKN,31982.45808145229
LOA-9RJP569A,67395.36869871622
LOA-V48ELP94,28511.942430673127
RPCRUYIT,21000.600157093228
LOA-D83JY5ZC,44231.754589397446
LOA-TX7XX23J,17681.875302502605
LOA-56VJPPNL,91702.8281541512
LOA-1DZ7R7ZU,35493.29548960917
LOA-DGJGJ3V9,79425.55172314696
LOA-8EFCVYFR,96625.74262805113
LOA-8EFCVYFR,96625.74262805113
LOA-RHLKF1C6,87126.74150301312
LOA-Q8V37XZQ,22402.50578100035
LOA-EALJ84JP,14931.82663110122
LOA-BEZY9VQC,15749.607871968663
LOA-Q7D12G85,25813.602801454785
LOA-DMKSJGZ3,67792.8954696278
LOA-1SZF5K9C,30613.494237797197
LOA-85H7GZ8Y,23257.903541683743
LOA-SKPYHP63,39747.168184035356
LOA-55UBXKV3,79970.13767144876
LOA-9XCHVU84,36609.63008955876
HHYPY3D8,27059.00585661851
LOA-4FRHF54G,33641.329177563406
LOA-T2HCKKSG,20324.928888046816
LOA-DDY15S6T,27956.54940729516
LOA-EF2MLX1X,17684.883951882628
LOA-92HEHV1N,77523.26253481198
LOA-TUHGNLE7,41631.210247696064
LOA-TRUQ85QL,20014.106236817162
LOA-QZFYJMB3,15396.808435312054
LOA-NZ4Y9ZF8,18911.095141147573
LOA-ANEMC176,25296.192196644224
LOA-1KM5S4TH,23496.480870613126
LOA-CR2J8MTE,79579.12532200357
LOA-CR2J8MTE,79579.12532200357
LOA-X798MKVQ,18213.787994335864
LOA-TFYAH89E,74869.89892089156
LOA-5XK1GT7K,20441.61694650212
LOA-VUV7LHRF,14373.535448333792
LOA-RU9Y3YGH,20000.611567024684
LOA-YQ25Y22B,45005.49734562939
FHAIAF2D,20942.98397478106
LOA-145491D7,16168.445368947525
L5KG5TAE,23521.073349967155
LOA-LSJ39Y6G,15234.999801972172
LOA-EKGH5G77,39592.29612591473
LOA-77R13YUN,14833.5805179362
LOA-J9L2GMSY,93141.12132601277
LOA-J9L2GMSY,93141.12132601277
LOA-K5MQN5LN,21479.0329536748
LOA-CUDBZNYJ,16069.741279915821
LOA-4SU8MAA3,23293.116204090955
LOA-AER3B9D9,23681.15205001037
LOA-GEBTJ6QQ,54992.28417027629
